


400 MFW , culled @ 0%,  38 of 51	(74.5%)



Ferguson_merged_sec_11 	-->	 Hume
Hume_merged_sec_3 	-->	 Ferguson
Hume_merged_sec_10 	-->	 Ferguson
Hume_merged_sec_11 	-->	 Ferguson
Hume_merged_sec_12 	-->	 Ferguson
Hume_merged_sec_15 	-->	 Ferguson
Hume_merged_sec_21 	-->	 Ferguson
Hume_merged_sec_24 	-->	 Ferguson
Hume_merged_sec_27 	-->	 Ferguson
sister_peg_checked_1 	-->	 Hume
sister_peg_checked_2 	-->	 Ferguson
sister_peg_checked_3 	-->	 Ferguson
sister_peg_checked_4 	-->	 Ferguson
sister_peg_checked_5 	-->	 Ferguson
sister_peg_checked_6 	-->	 Hume
sister_peg_checked_7 	-->	 Ferguson
sister_peg_checked_8 	-->	 Hume
sister_peg_checked_9 	-->	 Ferguson
sister_peg_checked_10 	-->	 Ferguson
sister_peg_checked_11 	-->	 Ferguson

500 MFW , culled @ 0%,  42 of 51	(82.4%)



Hume_merged_sec_3 	-->	 Ferguson
Hume_merged_sec_10 	-->	 Ferguson
Hume_merged_sec_11 	-->	 Ferguson
Hume_merged_sec_13 	-->	 Ferguson
Hume_merged_sec_15 	-->	 Ferguson
Hume_merged_sec_21 	-->	 Ferguson
Hume_merged_sec_24 	-->	 Ferguson
Hume_merged_sec_27 	-->	 Ferguson
Hume_merged_sec_30 	-->	 Ferguson
sister_peg_checked_1 	-->	 Hume
sister_peg_checked_2 	-->	 Ferguson
sister_peg_checked_3 	-->	 Ferguson
sister_peg_checked_4 	-->	 Ferguson
sister_peg_checked_5 	-->	 Ferguson
sister_peg_checked_6 	-->	 Hume
sister_peg_checked_7 	-->	 Ferguson
sister_peg_checked_8 	-->	 Hume
sister_peg_checked_9 	-->	 Ferguson
sister_peg_checked_10 	-->	 Ferguson
sister_peg_checked_11 	-->	 Ferguson

600 MFW , culled @ 0%,  42 of 51	(82.4%)



Ferguson_merged_sec_3 	-->	 Hume
Ferguson_merged_sec_11 	-->	 Hume
Hume_merged_sec_3 	-->	 Ferguson
Hume_merged_sec_11 	-->	 Ferguson
Hume_merged_sec_15 	-->	 Ferguson
Hume_merged_sec_21 	-->	 Ferguson
Hume_merged_sec_24 	-->	 Ferguson
Hume_merged_sec_30 	-->	 Ferguson
sister_peg_checked_1 	-->	 Hume
sister_peg_checked_2 	-->	 Ferguson
sister_peg_checked_3 	-->	 Ferguson
sister_peg_checked_4 	-->	 Ferguson
sister_peg_checked_5 	-->	 Ferguson
sister_peg_checked_6 	-->	 Hume
sister_peg_checked_7 	-->	 Ferguson
sister_peg_checked_8 	-->	 Ferguson
sister_peg_checked_9 	-->	 Ferguson
sister_peg_checked_10 	-->	 Ferguson
sister_peg_checked_11 	-->	 Ferguson

700 MFW , culled @ 0%,  43 of 51	(84.3%)



Hume_merged_sec_3 	-->	 Ferguson
Hume_merged_sec_12 	-->	 Ferguson
Hume_merged_sec_15 	-->	 Ferguson
Hume_merged_sec_16 	-->	 Ferguson
Hume_merged_sec_24 	-->	 Ferguson
Hume_merged_sec_30 	-->	 Ferguson
sister_peg_checked_1 	-->	 Hume
sister_peg_checked_2 	-->	 Ferguson
sister_peg_checked_3 	-->	 Ferguson
sister_peg_checked_4 	-->	 Ferguson
sister_peg_checked_5 	-->	 Ferguson
sister_peg_checked_6 	-->	 Hume
sister_peg_checked_7 	-->	 Ferguson
sister_peg_checked_8 	-->	 Ferguson
sister_peg_checked_9 	-->	 Ferguson
sister_peg_checked_10 	-->	 Ferguson
sister_peg_checked_11 	-->	 Ferguson

800 MFW , culled @ 0%,  45 of 51	(88.2%)



Hume_merged_sec_3 	-->	 Ferguson
Hume_merged_sec_12 	-->	 Ferguson
Hume_merged_sec_15 	-->	 Ferguson
Hume_merged_sec_16 	-->	 Ferguson
Hume_merged_sec_20 	-->	 Ferguson
Hume_merged_sec_24 	-->	 Ferguson
Hume_merged_sec_30 	-->	 Ferguson
sister_peg_checked_1 	-->	 Hume
sister_peg_checked_2 	-->	 Ferguson
sister_peg_checked_3 	-->	 Hume
sister_peg_checked_4 	-->	 Ferguson
sister_peg_checked_5 	-->	 Ferguson
sister_peg_checked_6 	-->	 Hume
sister_peg_checked_7 	-->	 Ferguson
sister_peg_checked_8 	-->	 Ferguson
sister_peg_checked_9 	-->	 Ferguson
sister_peg_checked_10 	-->	 Ferguson
sister_peg_checked_11 	-->	 Ferguson

900 MFW , culled @ 0%,  44 of 51	(86.3%)



Hume_merged_sec_3 	-->	 Ferguson
Hume_merged_sec_6 	-->	 Ferguson
Hume_merged_sec_12 	-->	 Ferguson
Hume_merged_sec_20 	-->	 Ferguson
Hume_merged_sec_24 	-->	 Ferguson
Hume_merged_sec_30 	-->	 Ferguson
sister_peg_checked_1 	-->	 Ferguson
sister_peg_checked_2 	-->	 Ferguson
sister_peg_checked_3 	-->	 Hume
sister_peg_checked_4 	-->	 Ferguson
sister_peg_checked_5 	-->	 Ferguson
sister_peg_checked_6 	-->	 Hume
sister_peg_checked_7 	-->	 Ferguson
sister_peg_checked_8 	-->	 Ferguson
sister_peg_checked_9 	-->	 Ferguson
sister_peg_checked_10 	-->	 Ferguson
sister_peg_checked_11 	-->	 Ferguson

1000 MFW , culled @ 0%,  45 of 51	(88.2%)

General attributive success:  409 of 510 (80.2%)

MFWs from 100 to 1000 @ increment 100
Culling from 0 to 0 @ increment 20
Pronouns deleted: FALSE

